sep=,
username,post,date,url,like,comment,is_repost
kantahkotajakartaselatan,Yuk+%23sobATRBPN%0ASampaikan+pertanyaan%2C+pengaduan+dan+saran+anda+melalui+kanal+Whatsapp+Informasi+dan+Pengaduan+Kementerian+ATR%2FBPN+%40kementerian.atrbpn+di+081110680000.%0A%0ATerus+dukung+Kantah+Jaksel+menuju+Zona+Integritas+Wilayah+Bebas+dari+Korupsi.%0A%0A%4010_trem_p%0A%40rajaantoni%0A%40agusyudhoyono%0A%40kanwilbpndkijakarta%0A%40kementerian.atrbpn%0A%0A%23melayaniprofesionalterpercaya%0A%23atrbpnkinilebihbaik%0A%23atrbpnmajudanmodern%0A%23Jakarta%0A%23JakartaHits%0A%23JakartaSelatan%0A%23BpnJakselHebatDanBisa,2024-07-30+09%3A50%3A21+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC-CtxXZvWSw%2F,33,2,false
kantahkotajakartaselatan,Hai+%23SobATRBPN+berikut+Jam+Pelayanan+Loket+Kantah+Jaksel%0A%0A%4010_trem_p%0A%40rajaantoni%0A%40agusyudhoyono%0A%40kanwilbpndkijakarta%0A%40kementerian.atrbpn%0A%0A%23melayaniprofesionalterpercaya%0A%23atrbpnkinilebihbaik%0A%23atrbpnmajudanmodern%0A%23Jakarta%0A%23JakartaHits%0A%23JakartaSelatan%0A%23BpnJakselHebatDanBisa,2024-07-05+08%3A37%3A17+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC9CNibzvnU5%2F,68,0,false
kantahkotajakartaselatan,Halo+%23SobATRBPN+dengan+ini+kami+beritahukan+bahwa+mulai+tanggal+1+Juli+2024+sebelum+melakukan+permohonan+agar+melakukan+proses+alih+media+ya+sobat.%0A%4010_trem_p%0A%40rajaantoni%0A%40agusyudhoyono%0A%40kanwilbpndkijakarta%0A%40kementerian.atrbpn%0A%0A%23melayaniprofesionalterpercaya%0A%23atrbpnkinilebihbaik%0A%23atrbpnmajudanmodern%0A%23Jakarta%0A%23JakartaHits%0A%23JakartaSelatan%0A%23BpnJakselHebatDanBisa,2024-07-04+02%3A41%3A21+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC8_AAi6PJ9v%2F,87,24,false
kantahkotajakartaselatan,Segenap+jajaran+Keluarga+Besar+%40kantahkotajakartaselatan+mengucapkan+terima+kasih+atas+pengabdian%2C+tenaga%2C+pikiran%2C+dedikasi%2C+Bapak+Sujana%2C+S.H.+Analis+Hukum+Pertanahan%0ASeksi+Penetapan+Hak+dan+Pendaftaraan%0AKantor+Pertanahan+Kota+Administrasi+Jakarta+Selatan.%0ATerhitung+sejak+01+September+2024+telah+menyelesaikan+tugas+sebagai+abdi+negara+pada+%40kementerian.atrbpn+.%0ASelamat+memasuki+masa+purna+tugas+Bapak+Sujana%2C+S.H.+semoga+senantiasa+diberi+kesehatan.%0A%0A%4010_trem_p%0A%40rajaantoni%0A%40agusyudhoyono%0A%40kanwilbpndkijakarta%0A%40kementerian.atrbpn%0A%0A%23melayaniprofesionalterpercaya%0A%23atrbpnkinilebihbaik%0A%23atrbpnmajudanmodern%0A%23Jakarta%0A%23JakartaHits%0A%23JakartaSelatan%0A%23BpnJakselHebatDanBisa,2024-09-02+03%3A41%3A34+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_ZmmEpPd_0%2F,5,0,false
kantahkotajakartaselatan,%40kantahkotajakartaselatan+terus+meningkatkan+pelayanan+pertanahan+dengan+terobosan+LEXI+Weekend+Service+atau+Pelayanan+Pertanahan+Akhir+Pekan+%28PELATARAN%29.%0ABagi+pemohon+langsung+yang+ingin+mengurus+berbagai+proses+tanah+tanpa+ribet%2C+LEXI+adalah+solusi+yang+tepat.%0A%0A%4010_trem_p%0A%40rajaantoni%0A%40agusyudhoyono%0A%40kanwilbpndkijakarta%0A%40kementerian.atrbpn%0A%0A%23melayaniprofesionalterpercaya%0A%23atrbpnkinilebihbaik%0A%23atrbpnmajudanmodern%0A%23Jakarta%0A%23JakartaHits%0A%23JakartaSelatan%0A%23BpnJakselHebatDanBisa%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador%0A%23PelataranBPN%0A%23PertanahanSabtuMinggu,2024-09-01+13%3A56%3A58+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_YIOjJTi-v%2F,38,0,false
kanwilbpndkijakarta,Halo+%23SobATRBPN%2C+Hak+Atas+Tanah+adalah+hak+yang+diperoleh+dari+hubungan+hukum+antara+pemegang+hak+dengan+tanah%2C+termasuk+ruang+di+atas+tanah%2C+dan%2Fatau+ruang+di+bawah+tanah+untuk+menguasai%2C+memiliki%2C+menggunakan%2C+dan+memanfaatkan%2C+serta+memelihara+tanah%2C+ruang+di+atas+tanah%2C+dan%2Fatau+ruang+dibawah+tanah.%0A%0ASebelum+menentukan+hak+atas+tanah%2C+yuk+kita+kenali+apa+saja+jenis+hak+atas+tanah+berdasarkan+Undang-Undang+Nomor+5+Tahun+1960+tentang+Undang-Undang+Pokok+Agraria+%28UUPA%29.%0A%0ASimak+informasi+selengkapnya+berikut+ya%2C+Sob%21%0A%0A%40kementerian.atrbpn%0A%0A%23KanwilBPNDKIJakarta%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SertipikatElektronik%0A%23RBKunwas%0A%23ZonaIntegritas%0A%23ZI,2024-08-30+11%3A33%3A37+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_SuO73SbBc%2F,43,2,false
kantahkotajakartaselatan,Jakarta%2C+30+Agustus+2024+%E2%80%93+Dalam+upaya+mendukung+Gerakan+Masyarakat+Hidup+Sehat%2C+Kantor+Pertanahan+Kota+Administrasi+Jakarta+Selatan+menyelenggarakan+kegiatan+Senam+Sehat+yang+dihadiri+oleh+seluruh+pegawai+dan+masyarakat+sekitar+Kantah+Jaksel.+Sebagai+instruktur+pada+hari+ini+%40rankin_zin%0AKegiatan+senam+sehat+ini+bertujuan+untuk+meningkatkan+kesadaran+akan+pentingnya+kesehatan+fisik+melalui+olahraga+rutin.%0A%0A%4010_trem_p%0A%40rajaantoni%0A%40agusyudhoyono%0A%40kanwilbpndkijakarta%0A%40kementerian.atrbpn%0A%0A%23melayaniprofesionalterpercaya%0A%23atrbpnkinilebihbaik%0A%23atrbpnmajudanmodern%0A%23Jakarta%0A%23JakartaHits%0A%23JakartaSelatan%0A%23BpnJakselHebatDanBisa,2024-08-30+08%3A51%3A47+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_Sbtmev6yJ%2F,31,0,false
kantahkotajakartaselatan,Halo+%23SobATRBPN%2C+Menteri+ATR%2FKepala+BPN%2C+Agus+Harimurti+Yudhoyono+%28AHY%29+bersama+jajaran+Kementerian+ATR%2F+BPN+menerima+audiensi+dari+World+Bank+di+Ruang+Rapat+Menteri+pada+Kamis+%2829%2F08%2F2024%29.%0A%0APada+pertemuan+kali+ini%2C+Menteri+ATR%2FKepala+BPN+memimpin+audiensi+dan+membahas+mengenai+Program+Integrated+Land+Administration+and+Spatial+Planning+%28ILASP%29.%0A%0ASimak+selengkapnya+pada+video+berikut+ya%2C+Sob%21%E2%98%9D%F0%9F%8F%BC%0A%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-08-30+08%3A43%3A18+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Freel%2FC_SarSrInJ2%2F,3,0,false
kantahkotajakartaselatan,Halo+%23SobATRBPN%2C+keamanan+dan+kenyamanan+di+tempat+kerja+merupakan+hak+kita+semua.%0A%0AUntuk+itu%2C+pastikan+selalu+waspada+terhadap+lingkungan+sekitar+dan+jangan+pernah+ragu+untuk+melaporkan+jika+ada+tindakan+yang+mencurigakan+atau+mengancam+ya%2C+Sob.%0A%0AYuk+bersama+jaga+diri+dan+rekan+kerja+kita+dari+ancaman+kekerasan%2C+karena+setiap+orang+berhak+bekerja+dalam+lingkungan+yang+aman+dan+nyaman%21%0A%0A%23PekerjaPerempuan%0A%23PekerjaPerempuanTerlindungi%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-08-30+08%3A23%3A39+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_SYfhQTfs0%2F,7,0,false
kantahkotajakartaselatan,Pada+Rabu+%2828%2F08%2F2024%29%2C+Sekretaris+Jenderal+%28Sekjen%29+Kementerian+Agraria+dan+Tata+Ruang%2FBadan+Pertanahan+Nasional+%28ATR%2FBPN%29%2C+Suyus+Windayana+memberikan+pembinaan+kepada+jajarannya.%0A%0AIa+mengimbau+seluruh+jajaran+untuk+berkontribusi+nyata+bagi+terealisasinya+visi+Kementerian+ATR%2FBPN%2C+yaitu+Terwujudnya+Penataan+Ruang+dan+Pengelolaan+Pertanahan+yang+Terpercaya+dan+Berstandar+Dunia+dalam+Melayani+Masyarakat+untuk+Mendukung+Tercapainya+%22Indonesia+Maju+yang+Berdaulat+Mandiri+dan+Berkepribadian+Berlandaskan+Gotong+Royong%E2%80%9D.%0A%0ABerita+selengkapnya%2C+kunjungi%3A%0Ahttps%3A%2F%2Fwww.atrbpn.go.id%2Fsiaran-pers%2Fdetail%2F20440%2Fsekjen-imbau-kontribusi-nyata-jajarannya-demi-wujudkan-visi-misi-kementerian-atrbpn%0A%0A%23AHYMenteriATR%0A%23KementerianATRBPN%0A%23MelayaniProfesionalTerpercaya%0A%23MajuDanModern%0A%23MenujuPelayananKelasDunia%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-08-30+08%3A22%3A11+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_SYUwKzl0S%2F,8,0,false
