sep=,
username,post,date,url,like,comment,is_repost
kantahkotajakartautara,Mau+ukur+tanah+tapi+bingung+harus+bermohon+kemana%3F%0A%0AFYI%2C+%23SobATRBPN+dapat+memilih+untuk+mengajukan+pengukuran+%28pendaftaran+tanah+pertama+kali%29+baik+melalui+Loket+Pendaftaran+Kantor+Pertanahan+Kota+Administrasi+Jakarta+Utara+yang+di+ukur+oleh+Petugas+Ukur+ASN+ataupun+Melalui+Kantor+Jasa+Surveyor+Berlisensi.%0AGak+usah+khawatir%2C+keduanya+sama-sama+layanan+resmi+kok...%0AJadi+silahkan+pilih+dan+gak+perlu+bingung+lagi+ya+Sob%21%0A%0A%23UkurTanah%0A%23PengukuranTanah%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-07-12+12%3A25%3A45+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC9UpP2Ep7jk%2F,27,12,false
kantahkotajakartautara,Halo+%23SobATRBPN+dengan+ini+kami+beritahukan+bahwa+mulai+tanggal+1+Juli+2024+sebelum+melakukan+permohonan+agar+melakukan+proses+alih+media+ya+sobat.%0A%0A%23SertipikatElektronik%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-06-28+04%3A06%3A08+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC8vs8T-y5KT%2F,67,9,false
kantahkotajakartautara,Halo+%23SobATRBPN%2C+Semangat+senin+ya%21%0A%0AUntuk+memulai+pekan+ini%2C+yuk+simak+bersama+kegiatan+Menteri+ATR%2FKepala+BPN%2C+Agus+Harimurti+Yudhoyono+%28AHY%29+selama+satu+minggu+ke+belakang+melalui+ATR%2FBPN+Update+berikut+ya+Sob%E2%98%9D%F0%9F%8F%BC%0A%0A%23AHYMenteriATR%0A%23ATRBPNUpdate%0A%23MelayaniProfesionalTerpercaya%0A%23ATRBPNMajudanModern%0A%23ATRBPNKiniLebihBaik%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-09-02+03%3A43%3A43+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Freel%2FC_Zmy5-IQaD%2F,0,0,false
kantahkotajakartautara,Rencana+Detail+Tata+Ruang+%28RDTR%29+adalah+Rencana+Tata+Ruang+paling+operasional.+Demikian+disampaikan+Direktur+Jenderal+%28Dirjen%29+Tata+Ruang%2C+Dwi+Hariyawan+dalam+Rapat+Koordinasi+Lintas+Sektor+yang+berlangsung+di+The+Tribrata%2C+Hotel+and+Convention+Center+Dharmawangsa+Jakarta%2C+Senin+%2826%2F08%2F2024%29+lalu.%0A%0ABukan+hanya+itu%2C+RDTR+juga+menjadi+salah+satu+unsur+penting+yang+mendukung+sistem+Online+Single+Submission+%28OSS%29.+%E2%80%9CRDTR+memberikan+kepastian+investasi+melalui+OSS.+Nantinya%2C+hanya+tinggal+satu+klik%2C+perizinan+dapat+terbit%2C+dengan+syarat+harus+integrated.%E2%80%9D+tutur+Dwi+Hariyawan.%0A%0AKepada+para+kepala+daerah+yang+hadir+dalam+pertemuan+kali+ini%2C+Dirjen+Tata+Ruang+meminta+agar+berkomitmen+mengawal+penyusunan+RDTR+masing-masing+wilayah.+%E2%80%9CKarena+itu%2C+diharapkan+melalui+RDTR+semua+kepentingan+%28lintas+sektor%2C+red%29+dapat+dilaksanakan+tanpa+multipersepsi.+Tidak+ada+lagi+perbedaan+pandangan.+Terdapat+PR+%28pekerjaan+rumah%2C+red%29+bersama+bagi+pemerintah+daerah+untuk+mengintegrasikannya+dengan+OSS+setelah+Peraturan+Kepala+Daerah+terbit%2C%22+ujarnya.%0A%0ADalam+kesempatan+ini%2C+Kementerian+Agraria+dan+Tata+Ruang%2FBadan+Pertanahan+Nasional+%28ATR%2FBPN%29+melalui+Direktorat+Jenderal+Tata+Ruang+menyelenggarakan+rapat+untuk+fokus+membahas+rancangan+RDTR+di+tiga+provinsi%2C+Sumatra+Selatan%2C+Jawa+Barat%2C+dan+Jawa+Tengah.+Rencana+tersebut+meliputi+rancangan+RDTR+Kawasan+Perkotaan+Tebing+Tinggi%2C+Kabupaten+Empat+Lawang%3B+RDTR+Kawasan+Perkotaan+Karanganyar%2C+Kabupaten+Karanganyar%3B+RDTR+Wilayah+Perencanaan+%28WP%29+Anjasari%3B+serta+WP+Banjarsari%3B+WP+Cangkuang%3B+dan+WP+Majalaya+yang+terletak+di+Kabupaten+Bandung.%0A%0APada+prosesnya%2C+penyusunan+RDTR+juga+mempertimbangkan+potensi+dan+isu+strategis+di+masing-masing+daerah.+Sehubungan+dengan+itu%2C+di+pertemuan+lintas+sektor+kali+ini+para+kepala+daerah+terkait+memaparkan+masing-masing+potensi+wilayahnya.+Hadir+di+lokasi+antara+lain+Pj.+Bupati+Empat+Lawang%2C+Fauzan+Khoiri%3B+Bupati+Bandung%2C+Dadang+Supriatna%3B+dan+Pj.+Bupati+Karanganyar%2C+Timotius+Suryadi.%0A%0ASimak+selengkapnya+pada+video+berikut+ya%2C+Sob%E2%98%9D%F0%9F%8F%BC%0A%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-09-02+03%3A42%3A59+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_ZmwfrSJNx%2F,2,0,false
kantahkotajakartautara,Halo+%23SobATRBPN%2C+Menteri+ATR%2FKepala+BPN%2C+Agus+Harimurti+Yudhoyono+%28AHY%29+menghadiri+Fun+Run+bersama+Keluarga+Alumni+Pendidikan+Tinggi+%28KAPTI%29+Agraria+di+Sekolah+Tinggi+Pertanahan+Nasional+%28STPN%29+Yogyakarta.%0A%0APada+kesempatan+ini+Menteri+ATR%2FKepala+BPN+berharap+kepada+seluruh+Taruna%2FTaruni+STPN+agar+dapat+berkontribusi+untuk+kemajuan+Kementerian+ATR%2FBPN+serta+nusa+dan+bangsa.%0A%0ASimak+selengkapnya+pada+video+berikut+ya%2C+Sob%E2%98%9D%F0%9F%8F%BC%0A%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-09-02+03%3A42%3A28+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Freel%2FC_ZmoUFoxW3%2F,0,0,false
kantahkotajakartautara,Menteri+Agraria+dan+Tata+Ruang%2FKepala+Badan+Pertanahan+Nasional+%28ATR%2FBPN%29%2C+Agus+Harimurti+Yudhoyono+%28AHY%29+menghadiri+kegiatan+pemberian+Penghargaan+Agricola+Medal+kepada+Presiden+Republik+Indonesia%2C+Joko+Widodo.+Penghargaan+diberikan+oleh+Food+and+Agriculture+Organization+%28FAO%29+di+Istana+Negara%2C+Jakarta+pada+Jumat+%2830%2F08%2F2024%29.%0A%0APenghargaan+ini+diberikan+oleh+organisasi+ketahanan+pangan+dan+pertanian+yang+dibentuk+Perserikatan+Bangsa-Bangsa+%28PBB%29+terhadap+negara-negara+yang+memiliki+pengelolaan+pangan+dan+ketahanan+pangan+yang+baik.+Untuk+diketahui%2C+Presiden+Joko+Widodo+merupakan+Presiden+Republik+Indonesia+kedua+yang+diberikan+penghargaan+Agricola+Medal%2C+setelah+sebelumnya+diberikan+kepada+Presiden+Soeharto+39+tahun+silam.%0A%0AHadir+mendampingi+Menteri+ATR%2FKepala+BPN%2C+Sekretaris+Jenderal+Kementerian+ATR%2FBPN%2C+Suyus+Windayana%3B+Staf+Khusus+Bidang+Hukum+dan+Perundang-Undangan%2C+Sigit+Raditya%3B+dan+Staf+Khusus+Bidang+Manajemen+Internal%2C+Agust+Jovan+Latuconsina.+%28LS%2FFA%29%0A%0A%23AHYMenteriATR%0A%23KementerianATRBPN%0A%23MelayaniProfesionalTerpercaya%0A%23MajuDanModern%0A%23MenujuPelayananKelasDunia%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador%0A%0ABiro+Hubungan+Masyarakat%0AKementerian+Agraria+dan+Tata+Ruang%2F%0ABadan+Pertanahan+Nasional%0A%0AX%3A+x.com%2Fkem_atrbpn%0AInstagram%3A+instagram.com%2Fkementerian.atrbpn%2F%0AFanpage+facebook%3A+facebook.com%2FkementerianATRBPN%0AYoutube%3A+youtube.com%2FKementerianATRBPN%0ATikTok%3A+tiktok.com%2F%40kementerian.atrbpn%0ASitus%3A+atrbpn.go.id%0APPID%3A+ppid.atrbpn.go.id,2024-09-02+03%3A41%3A22+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_ZmkqwyN85%2F,0,0,false
kantahkotajakartautara,Sekolah+Tinggi+Pertanahan+Nasional+%28STPN%29+yang+berada+dalam+naungan+Kementerian+Agraria+dan+Tata+Ruang%2FBadan+Pertanahan+Nasional+%28ATR%2FBPN%29+didorong+untuk+bertransformasi+menjadi+politeknik.+Hal+ini+disampaikan+oleh+Menteri+ATR%2FKepala+BPN%2C+Agus+Harimurti+Yudhoyono+%28AHY%29+saat+membuka+Simposium+Nasional+Keluarga+Alumni+Pendidikan+Tinggi+Agraria+%28KAPTI-Agraria%29+secara+daring+pada+Jumat+%2830%2F08%2F2024%29.%0A%0A%E2%80%9CSaya+mendorong+STPN+untuk+terus+mengembangkan+kreasi+dan+inovasi+dalam+rangka+meningkatkan+kualitas+lulusan+sekaligus+menghasilkan+multiplier+effects+bagi+Kementerian+ATR%2FBPN%2C+dalam+rangka+mengakselerasi+berbagai+program+strategis+di+bidang+pertanahan+dan+tata+ruang.+Untuk+mewujudkan+hal+tersebut%2C+STPN+harus+segera+bertransformasi%2C%E2%80%9D+ujar+Menteri+AHY.%0A%0ABerita+selengkapnya%2C+kunjungi%3A%0Ahttps%3A%2F%2Fwww.atrbpn.go.id%2Fsiaran-pers%2Fdetail%2F20602%2Ftingkatkan-kualitas-lulusan-kementerian-atrbpn-bersama-komisi-ii-dpr-ri-dorong-stpn-bertransformasi-jadi-politeknik%0A%0Ahttps%3A%2F%2Fwww.atrbpn.go.id%2Fsiaran-pers%2Fdetail%2F20603%2Fmiliki-kemampuan-bidang-pertanahan-dan-tata-ruang-sekjen-kementerian-atrbpn-pastikan-lulusan-stpn-banyak-dibutuhkan-instansi-pemerintah-dan-swasta%0A%0A%23AHYMenteriATR%0A%23KementerianATRBPN%0A%23MelayaniProfesionalTerpercaya%0A%23MajuDanModern%0A%23MenujuPelayananKelasDunia%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-09-02+02%3A42%3A36+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_Zf2NvyFvj%2F,0,0,false
kantahkotajakartautara,Segenap+jajaran+Kementerian+ATR%2FBPN+mengucapkan+Selamat+Hari+Ulang+Tahun+Polisi+Wanita+%28POLWAN%29.%0A%0ADalam+momentum+ini%2C+mari+bersama+rayakan+keberanian+dan+ketangguhan+para+perempuan+tangguh+yang+telah+memberikan+segalanya+untuk+Indonesia+yang+lebih+baik.%0A%0APolwan+Presisi+Mendukung+Percepatan+Transformasi+Ekonomi+Yang+Inklusif+dan+Berkelanjutan+Menuju+Indonesia+Emas.%0A%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-09-02+02%3A41%3A52+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_Zfw6pyaYZ%2F,2,0,false
kantahkotajakartautara,Halo+%23SobATRBPN%2C+Kementerian+ATR%2FBPN+sebagai+Lembaga+Negara+yang+bertanggung+jawab+atas+urusan+administrasi+dan+pendaftaran+tanah+bersama+seluruh+pemangku+kepentingan+berkomitmen+untuk+menjaga+Tanah+Ulayat%2C+karena+memiliki+kedudukan+hukum+yang+sama+pentingnya+serta+bernilai+ekonomi%2C+sosial%2C+budaya+serta+dapat+meningkatkan+kesejahteraan+bagi+masyarakat+hukum+adat+setempat.%0A%0ALalu%2C+bagaimana+upaya+dan+sudah+sejauh+mana+Kementerian+ATR%2FBPN+dalam+memberikan+pengakuan+terhadap+Tanah+Ulayat%3F%0A%0ASimak+selengkapnya+pada+infografis+berikut+ya%2C+Sob%21%E2%98%9D%F0%9F%8F%BC%0A%0A%23LindungiTanahUlayat%0A%23IndonesiaLebihBermartabat%0A%23TanahUlayatUntukMasyarakatHukumAdat%0A%23CustomaryLandForWelfare%0A%23AHYMenteriATR%0A%23IndonesiaLengkap%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador,2024-09-02+02%3A41%3A27+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_Zft2HS-Nh%2F,0,0,false
kantahkotajakartautara,Halo+%23SobATRBPN%2C+Kantor+Pertanahan+Kota+Administrasi+Jakarta+Utara+melaksanakan+Program+Pelayanan+Pertanahan+Akhir+Pekan+%28PELATARAN%29+pada+hari+Sabtu+%2831%2F08%2F2024%29.+Pelataran+ini+khusus+untuk+Pemohon+Langsung%2FNon+Kuasa.%0A%0ABagi+masyarakat+di+wilayah+Kota+Administrasi+Jakarta+Utara+yang+tidak+bisa+mengurus+sertifikat+di+hari+kerja+bisa+datang+ke+layanan+PELATARAN+Kantor+Pertanahan+Kota+Administrasi+Jakarta+Utara+setiap+Hari+Sabtu+Pukul+08.00+-+12.00+WIB+%28Khusus+Pemohon+Langsung+%2F+Non+Kuasa%29%0A%0ATerima+kasih+kepada+%23SobATRBPN+yang+sudah+mengunjungi+layanan+PELATARAN+hari+ini+dan+para+petugas+yang+sudah+setia+melayani.%0A%0ADitunggu+kehadirannya+pada+PELATARAN+selanjutnya+ya+sob.%0A%0A%23ATRBPNKiniLebihBaik%0A%23ATRBPNMajudanModern%0A%23MelayaniProfesionalTerpercaya%0A%23KantahJakut%0A%23PELATARAN%0A%23SetiapKitaAdalahHumas%0A%23SetiapKitaAdalahAmbassador%0A4w,2024-08-31+09%3A29%3A51+%2B0000+UTC,https%3A%2F%2Finstagram.com%2F%2Fp%2FC_VE3S0RM54%2F,12,0,false
